EmployeeNumber,Age,Gender,Department,JobRole,JobLevel,MonthlyIncome,PerformanceRating,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,Attrition,salary_percentile,role_avg_salary,diff_from_role_avg,pay_status,talent_value_flag,salary_quartile,salary_quartile_label,attrition_flag
874,44,Male,"Research & Development","Laboratory Technician",1,2818,4,3,4,2,Yes,No,47.7,3237,-419,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1001,27,Female,"Research & Development","Laboratory Technician",1,2811,3,2,2,3,No,No,47.3,3237,-426,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1949,36,Male,"Research & Development","Laboratory Technician",1,2810,4,5,2,3,No,No,46.9,3237,-427,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
911,32,Male,"Research & Development","Laboratory Technician",1,2795,4,1,4,1,Yes,Yes,46.5,3237,-442,Fair,"Undervalued High Performer",2,"Lower Mid 25%",1
359,32,Male,"Research & Development","Laboratory Technician",1,2794,4,5,2,1,No,No,46.1,3237,-443,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
927,41,Female,"Research & Development","Laboratory Technician",1,2778,3,7,4,2,Yes,Yes,45.7,3237,-459,Fair,"Undervalued High Performer",2,"Lower Mid 25%",1
150,24,Male,"Research & Development","Laboratory Technician",1,2774,3,5,3,3,No,No,45.3,3237,-463,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1768,42,Male,"Research & Development","Laboratory Technician",1,2766,4,5,2,2,No,No,45,3237,-471,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1234,32,Female,"Research & Development","Laboratory Technician",1,2743,4,2,2,3,No,No,44.2,3237,-494,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1042,36,Female,"Research & Development","Laboratory Technician",1,2743,3,17,1,3,No,Yes,44.2,3237,-494,Fair,"Undervalued High Performer",2,"Lower Mid 25%",1
1221,36,Male,"Research & Development","Laboratory Technician",1,2741,3,7,3,3,No,No,43.4,3237,-496,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
281,40,Male,"Research & Development","Laboratory Technician",2,2741,3,7,4,4,Yes,No,43.4,3237,-496,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
198,30,Male,"Research & Development","Laboratory Technician",1,2720,3,5,4,3,No,No,43,3237,-517,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
328,33,Female,"Research & Development","Laboratory Technician",1,2707,4,9,1,4,No,Yes,42.6,3237,-530,Fair,"Undervalued High Performer",2,"Lower Mid 25%",1
1826,35,Male,"Research & Development","Laboratory Technician",1,2705,3,5,3,4,No,No,42.2,3237,-532,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
812,24,Male,"Research & Development","Laboratory Technician",1,2694,3,1,2,3,No,No,41.9,3237,-543,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
11,30,Male,"Research & Development","Laboratory Technician",1,2693,4,1,3,3,No,No,41.5,3237,-544,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1601,35,Male,"Research & Development","Laboratory Technician",1,2690,3,1,4,2,No,No,41.1,3237,-547,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
10,59,Female,"Research & Development","Laboratory Technician",1,2670,4,1,1,2,Yes,No,40.7,3237,-567,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
18,34,Male,"Research & Development","Laboratory Technician",1,2661,3,2,4,3,No,No,40.3,3237,-576,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
2003,35,Male,"Research & Development","Laboratory Technician",1,2660,3,2,3,3,Yes,No,39.9,3237,-577,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
686,26,Female,"Research & Development","Laboratory Technician",1,2659,3,3,4,3,Yes,No,39.5,3237,-578,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1982,23,Male,"Research & Development","Laboratory Technician",1,2647,3,5,4,4,No,No,39.1,3237,-590,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1279,21,Female,"Research & Development","Laboratory Technician",1,2625,4,2,3,1,No,Yes,38.8,3237,-612,Fair,"Undervalued High Performer",2,"Lower Mid 25%",1
1160,31,Male,"Research & Development","Laboratory Technician",1,2610,3,2,3,2,No,Yes,38.4,3237,-627,Fair,"Undervalued High Performer",2,"Lower Mid 25%",1
1111,28,Male,"Research & Development","Laboratory Technician",1,2596,3,1,2,3,No,Yes,38,3237,-641,Fair,"Undervalued High Performer",2,"Lower Mid 25%",1
351,42,Female,"Research & Development","Laboratory Technician",1,2593,3,9,1,3,Yes,No,37.6,3237,-644,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1674,49,Female,"Research & Development","Laboratory Technician",1,2587,3,2,1,2,Yes,No,36.8,3237,-650,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1907,56,Male,"Research & Development","Laboratory Technician",1,2587,3,4,4,3,No,Yes,36.8,3237,-650,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
517,42,Female,"Research & Development","Laboratory Technician",1,2576,3,5,1,3,No,No,36.4,3237,-661,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
2061,36,Male,"Research & Development","Laboratory Technician",2,2571,3,5,4,3,No,No,36,3237,-666,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1693,26,Male,"Research & Development","Laboratory Technician",1,2570,4,7,4,3,No,No,35.7,3237,-667,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
571,30,Female,"Research & Development","Laboratory Technician",1,2564,3,11,4,2,No,No,35.3,3237,-673,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1504,28,Male,"Research & Development","Laboratory Technician",1,2561,3,0,1,2,No,Yes,34.9,3237,-676,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
1258,48,Male,"Research & Development","Laboratory Technician",1,2559,3,1,2,2,No,No,34.5,3237,-678,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1918,26,Male,"Research & Development","Laboratory Technician",1,2544,3,7,4,3,No,No,34.1,3237,-693,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
912,29,Female,"Research & Development","Laboratory Technician",1,2532,3,4,4,3,No,No,33.7,3237,-705,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
169,22,Male,"Research & Development","Laboratory Technician",1,2523,3,2,4,3,No,No,33.3,3237,-714,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
958,36,Male,"Research & Development","Laboratory Technician",1,2519,4,11,3,3,No,No,32.9,3237,-718,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1175,28,Female,"Research & Development","Laboratory Technician",1,2515,3,1,4,2,Yes,Yes,32.6,3237,-722,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
758,23,Male,"Research & Development","Laboratory Technician",1,2500,3,4,1,4,No,No,32.2,3237,-737,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
39,33,Male,"Research & Development","Laboratory Technician",1,2496,3,1,4,3,No,No,31.8,3237,-741,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1760,38,Female,"Research & Development","Laboratory Technician",1,2468,3,6,2,2,No,No,31.4,3237,-769,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
430,43,Female,"Research & Development","Laboratory Technician",1,2455,3,8,4,3,No,No,31,3237,-782,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1019,22,Male,"Research & Development","Laboratory Technician",1,2451,3,4,1,2,No,No,30.6,3237,-786,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
769,53,Male,"Research & Development","Laboratory Technician",2,2450,3,2,4,3,No,No,29.8,3237,-787,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1564,35,Male,"Research & Development","Laboratory Technician",1,2450,3,3,1,3,No,No,29.8,3237,-787,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1675,38,Female,"Research & Development","Laboratory Technician",1,2440,4,4,2,3,No,No,29.5,3237,-797,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
325,33,Male,"Research & Development","Laboratory Technician",1,2436,3,5,4,1,Yes,Yes,29.1,3237,-801,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
14,35,Male,"Research & Development","Laboratory Technician",1,2426,3,5,2,3,No,No,28.7,3237,-811,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1017,30,Female,"Research & Development","Laboratory Technician",1,2422,3,3,2,3,No,Yes,28.3,3237,-815,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
1604,28,Male,"Research & Development","Laboratory Technician",1,2408,3,1,2,3,Yes,Yes,27.9,3237,-829,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
2012,40,Male,"Research & Development","Laboratory Technician",1,2406,3,1,4,2,No,No,27.1,3237,-831,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
79,38,Female,"Research & Development","Laboratory Technician",2,2406,3,10,4,3,No,No,27.1,3237,-831,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
932,39,Male,"Research & Development","Laboratory Technician",1,2404,4,2,1,1,Yes,Yes,26.7,3237,-833,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
1783,22,Female,"Research & Development","Laboratory Technician",1,2398,3,1,1,3,Yes,Yes,26.4,3237,-839,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
1361,40,Male,"Research & Development","Laboratory Technician",1,2387,4,4,2,3,No,No,26,3237,-850,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1030,50,Male,"Research & Development","Laboratory Technician",1,2380,3,1,4,3,No,No,25.2,3237,-857,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
918,58,Male,"Research & Development","Laboratory Technician",1,2380,3,1,4,2,Yes,Yes,25.2,3237,-857,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
1850,27,Female,"Research & Development","Laboratory Technician",1,2379,3,5,4,2,Yes,No,24.8,3237,-858,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1107,26,Male,"Research & Development","Laboratory Technician",1,2377,4,1,3,2,No,Yes,24.4,3237,-860,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1185,35,Male,"Research & Development","Laboratory Technician",1,2376,3,2,4,4,No,No,24,3237,-861,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
394,26,Male,"Research & Development","Laboratory Technician",1,2373,3,3,2,3,Yes,Yes,23.6,3237,-864,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
471,32,Female,"Research & Development","Laboratory Technician",1,2370,3,8,2,3,No,No,23.3,3237,-867,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1960,28,Male,"Research & Development","Laboratory Technician",1,2367,3,4,4,2,No,Yes,22.9,3237,-870,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1333,44,Male,"Research & Development","Laboratory Technician",1,2362,3,3,1,4,No,Yes,22.5,3237,-875,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
206,45,Male,"Research & Development","Laboratory Technician",2,2348,3,17,2,1,No,No,22.1,3237,-889,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
54,27,Female,"Research & Development","Laboratory Technician",1,2341,3,1,1,3,No,No,21.7,3237,-896,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
622,26,Male,"Research & Development","Laboratory Technician",1,2340,3,1,4,1,Yes,Yes,21.3,3237,-897,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
2032,56,Male,"Research & Development","Laboratory Technician",1,2339,3,10,3,1,No,Yes,20.9,3237,-898,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
951,32,Female,"Research & Development","Laboratory Technician",1,2332,4,3,2,3,No,No,20.5,3237,-905,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
816,29,Female,"Research & Development","Laboratory Technician",1,2319,3,1,1,3,Yes,Yes,20.2,3237,-918,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
882,32,Male,"Research & Development","Laboratory Technician",1,2314,3,3,4,3,No,No,19.8,3237,-923,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1718,26,Male,"Research & Development","Laboratory Technician",1,2305,3,3,3,4,No,No,19.4,3237,-932,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1551,24,Male,"Research & Development","Laboratory Technician",1,2296,3,1,1,3,No,No,19,3237,-941,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
55,26,Male,"Research & Development","Laboratory Technician",1,2293,3,1,3,2,No,Yes,18.6,3237,-944,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1772,41,Male,"Research & Development","Laboratory Technician",1,2289,4,5,1,3,No,No,18.2,3237,-948,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
245,38,Female,"Research & Development","Laboratory Technician",1,2288,3,2,4,3,No,No,17.8,3237,-949,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1533,23,Male,"Research & Development","Laboratory Technician",2,2272,3,4,3,3,No,No,17.4,3237,-965,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
996,45,Female,"Research & Development","Laboratory Technician",1,2270,3,5,4,3,No,No,17.1,3237,-967,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
63,35,Male,"Research & Development","Laboratory Technician",1,2269,3,1,4,3,No,No,16.7,3237,-968,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
525,43,Male,"Research & Development","Laboratory Technician",1,2258,4,3,4,3,No,No,15.9,3237,-979,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1172,35,Male,"Research & Development","Laboratory Technician",1,2258,3,8,3,3,No,No,15.9,3237,-979,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
200,41,Male,"Research & Development","Laboratory Technician",1,2238,4,5,1,3,No,No,15.5,3237,-999,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
332,39,Female,"Research & Development","Laboratory Technician",1,2232,3,3,3,3,No,No,15.1,3237,-1005,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
530,31,Male,"Research & Development","Laboratory Technician",1,2218,3,4,1,3,No,No,14.7,3237,-1019,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
483,40,Female,"Research & Development","Laboratory Technician",1,2213,3,7,3,3,Yes,No,14.3,3237,-1024,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1219,24,Female,"Research & Development","Laboratory Technician",1,2210,3,1,2,1,No,Yes,14,3237,-1027,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1102,28,Male,"Research & Development","Laboratory Technician",1,2207,3,4,3,2,No,No,13.6,3237,-1030,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
41,30,Male,"Research & Development","Laboratory Technician",1,2206,3,10,3,3,No,No,13.2,3237,-1031,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
362,32,Male,"Research & Development","Laboratory Technician",2,2176,3,6,1,3,No,No,12.8,3237,-1061,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1649,40,Male,"Research & Development","Laboratory Technician",1,2166,3,4,1,1,Yes,Yes,12.4,3237,-1071,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1286,28,Male,"Research & Development","Laboratory Technician",1,2154,3,4,3,2,Yes,No,12,3237,-1083,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
286,36,Female,"Research & Development","Laboratory Technician",1,2153,3,8,4,3,No,No,11.6,3237,-1084,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
643,24,Male,"Research & Development","Laboratory Technician",1,2127,4,1,2,3,No,No,11.2,3237,-1110,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
454,29,Male,"Research & Development","Laboratory Technician",1,2119,3,7,1,2,Yes,Yes,10.9,3237,-1118,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1856,47,Female,"Research & Development","Laboratory Technician",1,2105,3,2,3,3,No,No,10.5,3237,-1132,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1434,27,Male,"Research & Development","Laboratory Technician",1,2099,3,5,1,4,No,No,10.1,3237,-1138,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
562,30,Male,"Research & Development","Laboratory Technician",1,2097,3,5,4,1,No,No,9.7,3237,-1140,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
591,42,Male,"Research & Development","Laboratory Technician",1,2093,3,2,3,3,No,No,9.3,3237,-1144,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
4,37,Male,"Research & Development","Laboratory Technician",1,2090,3,0,3,3,Yes,Yes,8.9,3237,-1147,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
238,36,Male,"Research & Development","Laboratory Technician",1,2088,3,8,2,2,No,No,8.5,3237,-1149,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
116,51,Male,"Research & Development","Laboratory Technician",1,2075,4,4,4,3,No,No,8.1,3237,-1162,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1569,35,Female,"Research & Development","Laboratory Technician",1,2074,3,1,1,3,Yes,Yes,7.8,3237,-1163,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1883,29,Male,"Research & Development","Laboratory Technician",1,2062,3,3,1,3,No,No,7.4,3237,-1175,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
132,44,Male,"Research & Development","Laboratory Technician",2,2042,3,3,2,4,No,No,7,3237,-1195,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
19,28,Male,"Research & Development","Laboratory Technician",1,2028,3,4,3,3,Yes,Yes,6.2,3237,-1209,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1698,33,Male,"Research & Development","Laboratory Technician",1,2028,3,14,2,3,No,No,6.2,3237,-1209,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1534,40,Male,"Research & Development","Laboratory Technician",1,2018,3,5,1,1,No,Yes,5.8,3237,-1219,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1659,36,Male,"Research & Development","Laboratory Technician",1,2013,3,4,2,3,No,No,5.4,3237,-1224,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
934,34,Male,"Research & Development","Laboratory Technician",1,2008,3,1,2,3,No,No,4.7,3237,-1229,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1994,33,Male,"Research & Development","Laboratory Technician",1,2008,3,1,3,2,No,No,4.7,3237,-1229,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
53,35,Male,"Research & Development","Laboratory Technician",1,1951,3,1,4,3,No,No,4.3,3237,-1286,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1156,18,Male,"Research & Development","Laboratory Technician",1,1904,3,0,3,3,No,Yes,3.9,3237,-1333,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
556,38,Male,"Research & Development","Laboratory Technician",1,1702,4,1,4,3,Yes,No,3.5,3237,-1535,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1368,18,Female,"Research & Development","Laboratory Technician",1,1611,3,0,4,4,No,No,3.1,3237,-1626,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
811,23,Male,"Research & Development","Laboratory Technician",1,1601,4,0,1,3,Yes,Yes,2.7,3237,-1636,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
201,19,Female,"Research & Development","Laboratory Technician",1,1483,3,1,2,3,No,No,2.3,3237,-1754,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
405,18,Male,"Research & Development","Laboratory Technician",1,1420,3,0,3,3,No,Yes,1.9,3237,-1817,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1079,21,Female,"Research & Development","Laboratory Technician",1,1416,3,1,1,2,No,Yes,1.6,3237,-1821,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1692,32,Male,"Research & Development","Laboratory Technician",1,1393,3,1,2,3,No,Yes,1.2,3237,-1844,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
704,35,Male,"Research & Development","Laboratory Technician",1,1281,3,1,3,3,No,No,0.8,3237,-1956,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1974,31,Female,"Research & Development","Laboratory Technician",1,1129,3,1,4,3,Yes,No,0.4,3237,-2108,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
243,19,Male,"Research & Development","Laboratory Technician",1,1102,4,1,4,2,No,Yes,0,3237,-2135,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
259,52,Male,"Research & Development",Manager,5,19999,3,33,3,3,No,No,100,17182,2817,Fair,Normal,4,"Top 25%",0
1191,56,Female,"Research & Development",Manager,5,19943,3,5,1,3,No,No,99,17182,2761,Fair,Normal,4,"Top 25%",0
226,50,Female,"Research & Development",Manager,5,19926,3,5,2,3,No,No,98,17182,2744,Fair,Normal,4,"Top 25%",0
787,55,Male,"Research & Development",Manager,5,19859,3,5,1,3,Yes,Yes,97,17182,2677,Fair,Normal,4,"Top 25%",1
1595,42,Male,"Research & Development",Manager,5,19613,4,1,4,3,No,No,90.1,17182,2431,Fair,Normal,4,"Top 25%",0
549,60,Female,"Research & Development",Manager,5,19566,3,29,1,1,No,No,88.1,17182,2384,Fair,Normal,4,"Top 25%",0
671,44,Male,"Research & Development",Manager,5,19513,3,2,4,4,Yes,No,86.1,17182,2331,Fair,Normal,4,"Top 25%",0
2022,39,Male,"Research & Development",Manager,5,19431,3,6,4,2,No,No,85.1,17182,2249,Fair,Normal,4,"Top 25%",0
1866,43,Female,"Research & Development",Manager,5,19392,3,16,3,3,No,No,84.2,17182,2210,Fair,Normal,4,"Top 25%",0
444,39,Male,"Research & Development",Manager,5,19272,3,21,4,3,No,No,82.2,17182,2090,Fair,Normal,4,"Top 25%",0
319,42,Male,"Research & Development",Manager,5,19232,3,22,4,3,No,No,81.2,17182,2050,Fair,Normal,4,"Top 25%",0
336,45,Male,"Research & Development",Manager,5,19202,3,24,4,3,No,No,80.2,17182,2020,Fair,Normal,4,"Top 25%",0
531,39,Male,"Research & Development",Manager,5,19197,3,21,3,3,Yes,No,79.2,17182,2015,Fair,Normal,4,"Top 25%",0
1288,44,Male,"Research & Development",Manager,5,19190,3,25,1,2,No,No,78.2,17182,2008,Fair,Normal,4,"Top 25%",0
1336,55,Female,"Research & Development",Manager,5,19187,3,19,3,3,No,No,76.2,17182,2005,Fair,Normal,4,"Top 25%",0
32,53,Female,"Research & Development",Manager,5,19094,3,14,3,2,No,No,74.3,17182,1912,Fair,Normal,3,"Upper Mid 25%",0
374,55,Male,"Research & Development",Manager,5,19045,3,36,1,3,Yes,No,72.3,17182,1863,Fair,Normal,3,"Upper Mid 25%",0
253,40,Female,"Research & Development",Manager,5,19033,3,20,3,3,No,No,71.3,17182,1851,Fair,Normal,3,"Upper Mid 25%",0
2031,42,Male,"Research & Development",Manager,5,18880,3,22,3,2,No,No,69.3,17182,1698,Fair,Normal,3,"Upper Mid 25%",0
1256,49,Male,"Research & Development",Manager,5,18711,3,1,3,4,No,No,65.3,17182,1529,Fair,Normal,3,"Upper Mid 25%",0
1201,53,Female,"Research & Development",Manager,5,18606,3,7,3,3,No,No,64.4,17182,1424,Fair,Normal,3,"Upper Mid 25%",0
809,42,Male,"Research & Development",Manager,5,18430,3,24,4,2,No,No,63.4,17182,1248,Fair,Normal,3,"Upper Mid 25%",0
1306,45,Female,"Research & Development",Manager,5,18061,4,0,2,3,No,No,59.4,17182,879,Fair,Normal,3,"Upper Mid 25%",0
905,50,Male,"Research & Development",Manager,4,17924,3,31,1,3,No,No,57.4,17182,742,Fair,Normal,3,"Upper Mid 25%",0
1334,42,Male,"Research & Development",Manager,4,17861,3,20,3,2,Yes,No,55.4,17182,679,Fair,Normal,3,"Upper Mid 25%",0
1215,50,Female,"Research & Development",Manager,4,17856,4,2,1,3,No,No,54.5,17182,674,Fair,Normal,3,"Upper Mid 25%",0
1109,42,Male,"Research & Development",Manager,4,17665,3,22,1,3,No,No,53.5,17182,483,Fair,Normal,3,"Upper Mid 25%",0
1665,54,Female,"Research & Development",Manager,4,17426,4,10,3,3,No,No,48.5,17182,244,Fair,Normal,2,"Lower Mid 25%",0
199,41,Male,"Research & Development",Manager,4,17181,3,7,1,2,No,No,46.5,17182,-1,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1900,48,Female,"Research & Development",Manager,4,17174,3,22,4,3,No,No,45.5,17182,-8,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1307,39,Female,"Research & Development",Manager,4,17123,3,19,2,3,Yes,No,44.6,17182,-59,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
976,52,Male,"Research & Development",Manager,4,17099,3,9,4,2,No,No,43.6,17182,-83,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
429,39,Male,"Research & Development",Manager,4,17068,3,21,1,3,Yes,No,42.6,17182,-114,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
569,50,Male,"Research & Development",Manager,4,17046,3,27,3,3,No,No,40.6,17182,-136,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1116,48,Male,"Research & Development",Manager,4,16885,4,5,4,2,No,No,38.6,17182,-297,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1892,40,Male,"Research & Development",Manager,4,16823,3,19,1,3,No,No,34.7,17182,-359,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
264,45,Male,"Research & Development",Manager,4,16792,4,20,4,3,No,No,32.7,17182,-390,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1074,55,Male,"Research & Development",Manager,4,16756,3,9,1,4,No,No,31.7,17182,-426,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
820,47,Female,"Research & Development",Manager,4,16752,3,26,4,2,Yes,No,30.7,17182,-430,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
505,55,Female,"Research & Development",Manager,4,16659,3,5,4,3,Yes,No,29.7,17182,-523,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
546,52,Female,"Research & Development",Manager,4,16555,3,5,4,1,No,No,26.7,17182,-627,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1520,54,Female,"Research & Development",Manager,4,16032,4,14,4,3,No,No,21.8,17182,-1150,Fair,"Undervalued High Performer",1,"Bottom 25%",0
664,48,Female,"Research & Development",Manager,4,15402,3,3,1,1,No,No,17.8,17182,-1780,Fair,"Undervalued High Performer",1,"Bottom 25%",0
1677,49,Male,"Research & Development",Manager,4,15379,3,8,3,3,No,No,16.8,17182,-1803,Fair,"Undervalued High Performer",1,"Bottom 25%",0
1644,48,Male,"Research & Development",Manager,4,15202,4,2,4,3,No,No,15.8,17182,-1980,Fair,"Undervalued High Performer",1,"Bottom 25%",0
84,55,Female,"Research & Development",Manager,4,14756,3,5,3,3,Yes,No,13.9,17182,-2426,Fair,"Undervalued High Performer",1,"Bottom 25%",0
582,33,Male,"Research & Development",Manager,3,13610,3,7,3,4,Yes,Yes,10.9,17182,-3572,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1786,51,Female,"Research & Development",Manager,3,13116,3,2,3,3,No,No,8.9,17182,-4066,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
381,35,Female,"Research & Development",Manager,3,11996,3,7,2,2,No,No,6.9,17182,-5186,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1321,30,Female,"Research & Development",Manager,3,11916,4,9,1,3,Yes,No,5.9,17182,-5266,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
428,33,Female,"Research & Development",Manager,3,11878,3,10,2,3,No,No,4,17182,-5304,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
